ticket_id,timestamp,channel,route_id,raw_text,category,severity,is_urgent,resolved
C0248,2025-03-30 16:49,WhatsApp,R7,Is R7 running during the public holiday?,Other,Medium,False,True
C0249,2025-04-02 13:44,WhatsApp,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,High,True,True
C0250,2025-02-03 06:04,Call,R14,"Bus on R14 was 50 minutes late this morning, no announcement.",Delay,Low,False,True
C0251,2025-02-20 22:56,Call,R14,Why did I pay 2727 Le when the board says the fare is lower?,Overcharging,High,True,True
C0252,2025-02-25 04:35,WhatsApp,R3,Conductor on R3 charged me 2198 Le above the posted fare.,Overcharging,Low,False,False
C0253,2025-03-19 12:18,SMS,R9,"I left my phone on the R9 bus this afternoon, please help.",Lost Item,High,True,True
C0254,2025-03-16 20:56,SMS,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,Low,True,True
C0255,2025-02-18 22:15,WhatsApp,R3,"Bus on R3 was 46 minutes late this morning, no announcement.",Delay,Medium,False,True
C0256,2025-02-19 03:07,SMS,R14,"I left my phone on the R14 bus this afternoon, please help.",Lost Item,High,True,True
C0257,2025-02-08 10:35,WhatsApp,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,False
C0258,2025-03-11 06:51,Call,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0259,2025-02-27 13:51,Call,R3,"Lost a bag of documents on R3, who do I contact?",Lost Item,Medium,True,True
C0260,2025-03-31 06:10,SMS,R9,Why did I pay 1986 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0261,2025-03-05 22:51,SMS,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,Medium,True,False
C0262,2025-03-09 22:05,Call,R7,R7 never showed at the scheduled time again.,Delay,Low,False,False
C0263,2025-02-28 23:13,WhatsApp,R14,"Bus on R14 was 33 minutes late this morning, no announcement.",Delay,Low,False,False
C0264,2025-02-24 14:29,WhatsApp,R7,Conductor on R7 charged me 1073 Le above the posted fare.,Overcharging,Low,False,True
C0265,2025-02-14 14:53,SMS,R7,"Lost a bag of documents on R7, who do I contact?",Lost Item,Low,True,False
C0266,2025-02-27 07:24,WhatsApp,R7,R7 never showed at the scheduled time again.,Delay,Medium,False,True
C0267,2025-03-08 08:58,WhatsApp,R9,"Bus on R9 was 54 minutes late this morning, no announcement.",Delay,Low,False,True
C0268,2025-02-14 22:43,InPerson,R21,"Operator OP-112 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0269,2025-03-27 07:17,SMS,R21,R21 never showed at the scheduled time again.,Delay,Low,False,True
C0270,2025-03-14 04:48,Call,R9,"Bus on R9 was 28 minutes late this morning, no announcement.",Delay,Low,False,True
C0271,2025-03-20 20:34,WhatsApp,R14,"Bus on R14 was 22 minutes late this morning, no announcement.",Delay,High,True,False
C0272,2025-03-25 13:05,InPerson,R12,"Operator OP-103 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0273,2025-03-02 08:32,SMS,R9,R9 never showed at the scheduled time again.,Delay,Low,False,True
C0274,2025-02-19 18:22,SMS,R12,Operator OP-120 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0275,2025-03-17 02:46,SMS,R12,R12 never showed at the scheduled time again.,Delay,Low,False,False
C0276,2025-03-13 21:28,SMS,R14,"Waited almost an hour for R14, completely unacceptable.",Delay,Medium,False,False
C0277,2025-02-09 09:41,Call,R9,"I left my phone on the R9 bus this afternoon, please help.",Lost Item,Medium,True,True
C0278,2025-02-07 10:22,SMS,R7,Where can I get the timetable for R7?,Other,High,True,False
C0279,2025-03-05 09:02,WhatsApp,R3,Is R3 running during the public holiday?,Other,Low,False,True
C0280,2025-03-02 19:15,SMS,R14,Operator OP-107 staff refused to help with my luggage.,Staff Conduct,Medium,False,True
C0281,2025-02-12 07:12,SMS,R3,Conductor on R3 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0282,2025-03-04 00:54,SMS,R3,Rubbish all over the floor of the R3 vehicle.,Cleanliness,High,True,False
C0283,2025-03-09 14:22,SMS,R7,"Waited almost an hour for R7, completely unacceptable.",Delay,High,True,True
C0284,2025-03-03 10:48,SMS,R3,Why did I pay 2251 Le when the board says the fare is lower?,Overcharging,Medium,False,True
C0285,2025-04-02 20:35,Call,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,True
C0286,2025-02-13 11:22,Call,R21,Operator OP-106 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0287,2025-02-04 01:36,Call,R21,"Waited almost an hour for R21, completely unacceptable.",Delay,Low,False,False
C0288,2025-03-26 02:47,SMS,R14,R14 never showed at the scheduled time again.,Delay,Low,False,True
C0289,2025-02-14 02:42,WhatsApp,R14,"I left my phone on the R14 bus this afternoon, please help.",Lost Item,High,True,True
C0290,2025-03-21 00:41,Call,R12,Why did I pay 2891 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0291,2025-03-08 01:21,Call,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0292,2025-02-20 09:14,WhatsApp,R7,"Bus on R7 was 16 minutes late this morning, no announcement.",Delay,High,True,True
C0293,2025-03-05 12:34,InPerson,R7,Conductor on R7 charged me 1818 Le above the posted fare.,Overcharging,Low,False,True
C0294,2025-03-28 23:15,SMS,R21,Conductor on R21 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0295,2025-03-24 09:29,InPerson,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0296,2025-03-20 10:25,SMS,R9,"Bus on R9 was 39 minutes late this morning, no announcement.",Delay,Low,False,False
C0297,2025-03-25 08:27,InPerson,R14,Rubbish all over the floor of the R14 vehicle.,Cleanliness,Low,False,True
C0298,2025-02-11 22:16,SMS,R12,"Bus on R12 was 47 minutes late this morning, no announcement.",Delay,Low,False,False
C0299,2025-02-10 02:48,WhatsApp,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,True
C0300,2025-02-14 15:17,Call,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0301,2025-04-04 04:09,SMS,R7,"Bus on R7 was 23 minutes late this morning, no announcement.",Delay,Low,False,True
C0302,2025-02-22 05:23,SMS,R9,R9 never showed at the scheduled time again.,Delay,Medium,False,False
C0303,2025-02-27 08:30,SMS,R3,"Lost a bag of documents on R3, who do I contact?",Lost Item,High,True,True
C0304,2025-02-18 10:24,InPerson,R7,Is R7 running during the public holiday?,Other,Medium,False,True
C0305,2025-03-12 00:14,SMS,R7,"I left my phone on the R7 bus this afternoon, please help.",Lost Item,Medium,True,False
C0306,2025-03-23 17:14,Call,R12,R12 never showed at the scheduled time again.,Delay,Low,False,True
C0307,2025-02-03 13:06,SMS,R7,R7 never showed at the scheduled time again.,Delay,Medium,False,False
C0308,2025-03-03 21:16,Call,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,False
C0309,2025-03-15 05:30,SMS,R3,Why did I pay 862 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0310,2025-03-05 05:34,WhatsApp,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,Low,True,True
C0311,2025-04-03 15:45,SMS,R12,Conductor on R12 charged me 2832 Le above the posted fare.,Overcharging,Low,False,False
C0312,2025-03-04 22:34,Call,R9,"I left my phone on the R9 bus this afternoon, please help.",Lost Item,Medium,True,False
C0313,2025-03-05 16:12,WhatsApp,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0314,2025-03-03 11:08,SMS,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0315,2025-03-11 14:41,SMS,R3,"Bus on R3 was 24 minutes late this morning, no announcement.",Delay,Low,False,False
C0316,2025-02-25 21:05,Call,R12,Where can I get the timetable for R12?,Other,Medium,False,False
C0317,2025-02-09 02:46,SMS,R7,Operator OP-107 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0318,2025-03-24 07:07,Call,R21,"Lost a bag of documents on R21, who do I contact?",Lost Item,Medium,True,True
C0319,2025-03-06 14:57,SMS,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,Low,False,True
C0320,2025-02-25 19:19,Call,R7,"Lost a bag of documents on R7, who do I contact?",Lost Item,Medium,True,False
C0321,2025-02-11 01:12,SMS,R9,Rubbish all over the floor of the R9 vehicle.,Cleanliness,Medium,False,True
C0322,2025-03-30 17:31,SMS,R14,Operator OP-101 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0323,2025-03-24 03:49,WhatsApp,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,Medium,False,False
C0324,2025-03-07 00:08,SMS,R3,"The R3 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0325,2025-03-10 17:48,SMS,R3,Operator OP-105 is collecting extra money and refusing change.,Overcharging,Medium,False,False
C0326,2025-04-02 13:57,SMS,R14,"Waited almost an hour for R14, completely unacceptable.",Delay,Low,False,True
C0327,2025-03-31 15:17,InPerson,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0328,2025-03-29 19:27,Call,R9,Driver on R9 was speeding and overtaking dangerously.,Safety,Low,True,True
C0329,2025-03-29 08:08,WhatsApp,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,Medium,True,True
C0330,2025-03-13 06:18,Call,R9,"I left my phone on the R9 bus this afternoon, please help.",Lost Item,High,True,True
C0331,2025-03-18 00:50,WhatsApp,R12,The R12 vehicle had bald tyres and a broken door.,Safety,Low,True,True
C0332,2025-02-24 09:04,WhatsApp,R12,Rubbish all over the floor of the R12 vehicle.,Cleanliness,Low,False,True
C0333,2025-03-16 05:06,SMS,R12,"Bus on R12 was 19 minutes late this morning, no announcement.",Delay,Medium,False,True
C0334,2025-03-20 15:24,Call,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0335,2025-03-05 08:42,Call,R7,Operator OP-104 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0336,2025-03-23 16:03,InPerson,R7,Operator OP-111 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0337,2025-03-15 05:29,InPerson,R21,The R21 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0338,2025-03-20 17:44,InPerson,R12,Is R12 running during the public holiday?,Other,Low,False,False
C0339,2025-03-31 04:35,Call,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,False
C0340,2025-02-19 16:57,SMS,R21,The R21 vehicle had bald tyres and a broken door.,Safety,Medium,True,False
C0341,2025-03-18 20:39,Call,R7,"I left my phone on the R7 bus this afternoon, please help.",Lost Item,High,True,True
C0342,2025-03-28 07:46,WhatsApp,R9,"The R9 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0343,2025-03-08 21:25,Call,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0344,2025-03-16 16:03,WhatsApp,R21,Operator OP-119 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0345,2025-03-20 05:17,Call,R3,"Waited almost an hour for R3, completely unacceptable.",Delay,Low,False,False
C0346,2025-03-24 06:57,Call,R14,Where can I get the timetable for R14?,Other,High,True,True
C0347,2025-03-30 05:37,SMS,R14,"Operator OP-115 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0348,2025-03-09 01:43,WhatsApp,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0349,2025-03-08 17:11,Call,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Low,False,True
C0350,2025-02-25 13:03,WhatsApp,R3,Where can I get the timetable for R3?,Other,Medium,False,True
C0351,2025-02-03 09:54,SMS,R9,Conductor on R9 charged me 2706 Le above the posted fare.,Overcharging,Medium,False,False
C0352,2025-02-12 14:05,InPerson,R21,"Waited almost an hour for R21, completely unacceptable.",Delay,High,True,True
C0353,2025-02-21 05:34,Call,R9,Where can I get the timetable for R9?,Other,Medium,False,True
C0354,2025-02-08 09:01,Call,R21,"I left my phone on the R21 bus this afternoon, please help.",Lost Item,High,True,False
C0355,2025-02-11 10:46,SMS,R14,Operator OP-102 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0356,2025-03-23 13:51,WhatsApp,R3,"Operator OP-112 let too many standing passengers, felt unsafe.",Safety,High,True,False
C0357,2025-03-01 02:56,SMS,R21,R21 never showed at the scheduled time again.,Delay,Low,False,True
C0358,2025-03-04 14:41,SMS,R14,R14 never showed at the scheduled time again.,Delay,High,True,False
C0359,2025-03-27 14:08,Call,R14,Why did I pay 1344 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0360,2025-03-02 06:29,Call,R12,Operator OP-118 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0361,2025-03-05 22:33,SMS,R9,"Operator OP-114 let too many standing passengers, felt unsafe.",Safety,High,True,False
C0362,2025-03-09 17:48,SMS,R12,"Operator OP-120 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0363,2025-03-25 09:23,SMS,R21,"Bus on R21 was 50 minutes late this morning, no announcement.",Delay,Low,False,False
C0364,2025-02-24 15:01,InPerson,R3,"I left my phone on the R3 bus this afternoon, please help.",Lost Item,High,True,True
C0365,2025-02-19 09:26,Call,R9,Why did I pay 1793 Le when the board says the fare is lower?,Overcharging,Medium,False,True
C0366,2025-02-13 00:56,Call,R12,Operator OP-103 is collecting extra money and refusing change.,Overcharging,High,True,False
C0367,2025-03-10 17:00,InPerson,R3,Rubbish all over the floor of the R3 vehicle.,Cleanliness,Low,False,False
C0368,2025-02-26 17:38,InPerson,R21,"Bus on R21 was 38 minutes late this morning, no announcement.",Delay,Medium,False,False
C0369,2025-03-07 01:39,SMS,R21,Where can I get the timetable for R21?,Other,High,True,False
C0370,2025-03-06 23:21,Call,R12,Rubbish all over the floor of the R12 vehicle.,Cleanliness,Medium,False,False
C0371,2025-02-17 23:52,WhatsApp,R7,The R7 vehicle had bald tyres and a broken door.,Safety,Low,True,True
C0372,2025-03-02 05:51,SMS,R9,Why did I pay 1875 Le when the board says the fare is lower?,Overcharging,Low,False,True
C0373,2025-03-27 01:08,WhatsApp,R9,Where can I get the timetable for R9?,Other,High,True,False
C0374,2025-02-21 17:39,Call,R7,Conductor on R7 charged me 992 Le above the posted fare.,Overcharging,Low,False,True
C0375,2025-02-20 01:02,Call,R3,"Waited almost an hour for R3, completely unacceptable.",Delay,Low,False,False
C0376,2025-02-25 07:05,SMS,R9,Operator OP-114 is collecting extra money and refusing change.,Overcharging,Low,False,True
C0377,2025-02-03 08:52,SMS,R9,"Operator OP-120 let too many standing passengers, felt unsafe.",Safety,High,True,False
C0378,2025-03-31 12:40,WhatsApp,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0379,2025-02-13 08:06,InPerson,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,Low,False,False
C0380,2025-02-10 10:04,SMS,R12,Operator OP-116 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0381,2025-03-13 10:30,SMS,R12,Why did I pay 2269 Le when the board says the fare is lower?,Overcharging,Medium,False,True
C0382,2025-02-22 00:34,Call,R9,R9 never showed at the scheduled time again.,Delay,Medium,False,False
C0383,2025-03-26 02:07,SMS,R14,Operator OP-110 staff refused to help with my luggage.,Staff Conduct,High,True,True
C0384,2025-03-05 13:44,SMS,R12,Operator OP-109 staff refused to help with my luggage.,Staff Conduct,High,True,True
C0385,2025-02-26 05:56,Call,R9,The R9 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0386,2025-02-13 09:49,InPerson,R7,"Operator OP-120 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0387,2025-03-20 19:03,WhatsApp,R7,"I left my phone on the R7 bus this afternoon, please help.",Lost Item,High,True,True
C0388,2025-03-28 02:16,Call,R9,Is R9 running during the public holiday?,Other,Medium,False,True
C0389,2025-02-05 15:46,WhatsApp,R9,The R9 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0390,2025-02-23 09:30,Call,R9,"Bus on R9 was 41 minutes late this morning, no announcement.",Delay,Medium,False,False
C0391,2025-04-02 15:19,Call,R9,Conductor on R9 charged me 1366 Le above the posted fare.,Overcharging,Medium,False,False
C0392,2025-03-14 01:11,Call,R7,"Lost a bag of documents on R7, who do I contact?",Lost Item,High,True,True
C0393,2025-03-21 19:35,Call,R14,"Lost a bag of documents on R14, who do I contact?",Lost Item,High,True,True
C0394,2025-04-01 04:09,SMS,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,True
C0395,2025-02-28 07:43,SMS,R12,"Bus on R12 was 40 minutes late this morning, no announcement.",Delay,Medium,False,False
C0396,2025-02-28 18:05,SMS,R21,"I left my phone on the R21 bus this afternoon, please help.",Lost Item,Medium,True,True
C0397,2025-03-03 12:16,Call,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0398,2025-02-18 08:21,SMS,R9,Where can I get the timetable for R9?,Other,Low,False,True
C0399,2025-03-12 17:27,WhatsApp,R14,"Operator OP-110 let too many standing passengers, felt unsafe.",Safety,High,True,False
C0400,2025-03-07 08:24,InPerson,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,High,True,True
